hours-per-week,age,capital-gain,capital-loss,workclass,education,education-num,marital-status,relationship,race,gender,native-country,income,occupation
0,1,0,0,4,9,2,2,5,4,0,39,49100,13
0,0,0,0,4,15,1,0,3,4,1,39,11500,3
0,0,0,0,4,1,0,4,3,4,1,39,2600,8
1,2,0,0,4,11,0,2,0,1,1,1,38997,12
0,0,0,0,4,9,2,4,1,4,1,0,41400,4
0,0,0,0,4,9,2,4,1,4,1,39,38524,4
1,1,0,0,4,14,2,0,1,4,0,39,26794,10
0,2,0,0,0,14,2,2,0,4,1,39,66433,0
0,2,0,0,6,11,0,2,0,4,1,9,33781,3
1,1,0,0,4,9,2,4,1,4,1,39,31050,4
0,0,0,0,0,11,0,4,1,4,0,39,3120,0
1,0,0,0,4,11,0,2,0,4,1,39,30876,6
0,1,0,0,4,11,0,5,1,4,1,39,3866,7
0,0,0,0,0,15,1,5,1,4,0,39,5202,0
0,2,0,0,4,11,0,2,0,4,1,39,60186,7
0,1,0,0,4,15,1,2,0,4,1,39,55486,3
0,2,0,0,5,14,2,2,0,4,1,39,99999,10
1,1,0,0,4,15,1,2,0,4,1,39,62210,10
0,2,0,0,4,11,0,2,0,4,1,39,32680,4
0,1,0,0,4,15,1,2,0,4,1,39,41110,4
1,0,0,0,4,7,2,4,1,4,0,39,20173,12
1,1,0,0,4,8,2,2,0,4,1,39,27550,3
0,1,0,0,4,9,2,4,3,4,1,39,26000,1
0,1,0,0,1,11,0,2,5,4,0,39,13650,1
0,0,0,0,4,8,2,4,1,4,0,39,7888,8
0,0,0,0,4,9,2,4,1,4,1,39,34050,4
0,1,0,0,4,7,2,4,1,4,1,39,17537,1
0,0,0,0,4,15,1,4,1,4,1,39,33350,13
0,1,0,0,4,7,2,0,1,4,0,39,28260,1
0,0,0,0,4,7,2,4,1,4,1,39,21035,13
1,1,0,0,5,7,2,2,0,4,1,39,19723,3
1,1,0,0,4,9,2,2,0,4,1,39,57867,12
1,2,0,0,4,11,0,2,0,4,1,39,58579,7
1,2,0,0,6,1,0,2,0,4,1,39,67000,5
0,0,0,0,4,15,1,4,2,4,1,39,18200,3
0,1,0,0,4,15,1,2,0,4,1,39,47448,6
0,2,0,0,4,9,2,5,4,4,0,39,17002,13
0,1,0,0,2,6,0,2,0,4,1,39,9600,8
0,1,0,0,4,9,2,2,0,4,1,39,77700,4
1,1,0,0,4,11,0,4,1,4,1,39,14560,8
0,2,0,0,4,5,0,0,1,4,1,39,11702,6
0,0,0,0,4,15,1,5,4,4,0,39,3080,1
0,1,0,0,4,11,0,5,1,4,1,39,17900,14
0,0,0,0,0,2,0,4,1,4,1,39,6778,0
0,0,0,0,4,15,1,4,1,4,1,39,11180,8
0,0,0,0,4,8,2,4,1,4,1,39,18720,7
0,0,0,0,4,15,1,4,1,4,1,39,8996,12
1,2,0,0,4,9,2,2,0,4,1,39,38300,10
0,0,0,0,4,15,1,4,3,4,0,39,1500,8
0,0,0,0,4,15,1,4,3,4,0,39,2700,8
0,0,0,0,4,15,1,4,3,4,1,39,4000,13
1,2,0,0,4,11,0,2,0,4,1,39,99999,12
0,0,0,0,4,11,0,4,3,4,0,39,6456,12
0,2,0,0,6,9,2,2,0,4,1,39,83000,12
1,1,0,0,6,9,2,0,4,4,1,39,32200,12
0,0,0,0,0,15,1,0,1,4,0,39,8780,0
0,1,0,0,4,15,1,0,4,4,0,39,24575,4
0,1,0,0,4,14,2,0,1,4,1,39,97084,10
0,2,0,0,4,12,2,0,4,4,0,39,35131,10
0,0,0,0,0,15,1,4,3,4,0,39,1921,0
0,2,0,0,2,9,2,2,5,4,0,39,92788,1
1,2,0,0,4,1,0,2,0,4,1,39,41604,12
0,0,0,0,4,15,1,4,3,4,1,39,8000,12
0,0,0,0,4,1,0,4,3,4,0,39,1100,8
