car_ID;carlength;carwidth;carheight;curbweight;carbody;horsepower;enginesize;CarName;price
1;168.8;64.1;48.8;2548;convertible;111;130;alfa-romero giulia;13495.0
2;168.8;64.1;48.8;2548;convertible;111;130;alfa-romero stelvio;16500.0
3;171.2;65.5;52.4;2823;hatchback;154;152;alfa-romero Quadrifoglio;16500.0
4;176.6;66.2;54.3;2337;sedan;102;109;audi 100 ls;13950.0
5;176.6;66.4;54.3;2824;sedan;115;136;audi 100ls;17450.0
6;177.3;66.3;53.1;2507;sedan;110;136;audi fox;15250.0
7;192.7;71.4;55.7;2844;sedan;110;136;audi 100ls;17710.0
8;192.7;71.4;55.7;2954;wagon;110;136;audi 5000;18920.0
9;192.7;71.4;55.9;3086;sedan;140;131;audi 4000;23875.0
10;178.2;67.9;52.0;3053;hatchback;160;131;audi 5000s (diesel);17859.167
11;176.8;64.8;54.3;2395;sedan;101;108;bmw 320i;16430.0
12;176.8;64.8;54.3;2395;sedan;101;108;bmw 320i;16925.0
13;176.8;64.8;54.3;2710;sedan;121;164;bmw x1;20970.0
14;176.8;64.8;54.3;2765;sedan;121;164;bmw x3;21105.0
15;189.0;66.9;55.7;3055;sedan;121;164;bmw z4;24565.0
16;189.0;66.9;55.7;3230;sedan;182;209;bmw x4;30760.0
17;193.8;67.9;53.7;3380;sedan;182;209;bmw x5;41315.0
18;197.0;70.9;56.3;3505;sedan;182;209;bmw x3;36880.0
19;141.1;60.3;53.2;1488;hatchback;48;61;chevrolet impala;5151.0
20;155.9;63.6;52.0;1874;hatchback;70;90;chevrolet monte carlo;6295.0
21;158.8;63.6;52.0;1909;sedan;70;90;chevrolet vega 2300;6575.0
22;157.3;63.8;50.8;1876;hatchback;68;90;dodge rampage;5572.0
23;157.3;63.8;50.8;1876;hatchback;68;90;dodge challenger se;6377.0
24;157.3;63.8;50.8;2128;hatchback;102;98;dodge d200;7957.0
25;157.3;63.8;50.6;1967;hatchback;68;90;dodge monaco (sw);6229.0
26;157.3;63.8;50.6;1989;sedan;68;90;dodge colt hardtop;6692.0
27;157.3;63.8;50.6;1989;sedan;68;90;dodge colt (sw);7609.0
28;157.3;63.8;50.6;2191;sedan;102;98;dodge coronet custom;8558.0
29;174.6;64.6;59.8;2535;wagon;88;122;dodge dart custom;8921.0
30;173.2;66.3;50.2;2811;hatchback;145;156;dodge coronet custom (sw);12964.0
31;144.6;63.9;50.8;1713;hatchback;58;92;honda civic;6479.0
32;144.6;63.9;50.8;1819;hatchback;76;92;honda civic cvcc;6855.0
33;150.0;64.0;52.6;1837;hatchback;60;79;honda civic;5399.0
34;150.0;64.0;52.6;1940;hatchback;76;92;honda accord cvcc;6529.0
35;150.0;64.0;52.6;1956;hatchback;76;92;honda civic cvcc;7129.0
36;163.4;64.0;54.5;2010;sedan;76;92;honda accord lx;7295.0
37;157.1;63.9;58.3;2024;wagon;76;92;honda civic 1500 gl;7295.0
38;167.5;65.2;53.3;2236;hatchback;86;110;honda accord;7895.0
39;167.5;65.2;53.3;2289;hatchback;86;110;honda civic 1300;9095.0
40;175.4;65.2;54.1;2304;sedan;86;110;honda prelude;8845.0
41;175.4;62.5;54.1;2372;sedan;86;110;honda accord;10295.0
42;175.4;65.2;54.1;2465;sedan;101;110;honda civic;12945.0
43;169.1;66.0;51.0;2293;sedan;100;110;honda civic (auto);10345.0
44;170.7;61.8;53.5;2337;sedan;78;111;isuzu MU-X;6785.0
45;155.9;63.6;52.0;1874;sedan;70;90;isuzu D-Max ;8916.5
46;155.9;63.6;52.0;1909;sedan;70;90;isuzu D-Max V-Cross;8916.5
47;172.6;65.2;51.4;2734;hatchback;90;119;isuzu D-Max ;11048.0
48;199.6;69.6;52.8;4066;sedan;176;258;jaguar xj;32250.0
49;199.6;69.6;52.8;4066;sedan;176;258;jaguar xf;35550.0
50;191.7;70.6;47.8;3950;sedan;262;326;jaguar xk;36000.0
51;159.1;64.2;54.1;1890;hatchback;68;91;maxda rx3;5195.0
52;159.1;64.2;54.1;1900;hatchback;68;91;maxda glc deluxe;6095.0
53;159.1;64.2;54.1;1905;hatchback;68;91;mazda rx2 coupe;6795.0
54;166.8;64.2;54.1;1945;sedan;68;91;mazda rx-4;6695.0
55;166.8;64.2;54.1;1950;sedan;68;91;mazda glc deluxe;7395.0
56;169.0;65.7;49.6;2380;hatchback;101;70;mazda 626;10945.0
57;169.0;65.7;49.6;2380;hatchback;101;70;mazda glc;11845.0
58;169.0;65.7;49.6;2385;hatchback;101;70;mazda rx-7 gs;13645.0
59;169.0;65.7;49.6;2500;hatchback;135;80;mazda glc 4;15645.0
60;177.8;66.5;53.7;2385;hatchback;84;122;mazda 626;8845.0
61;177.8;66.5;55.5;2410;sedan;84;122;mazda glc custom l;8495.0
62;177.8;66.5;53.7;2385;hatchback;84;122;mazda glc custom;10595.0
63;177.8;66.5;55.5;2410;sedan;84;122;mazda rx-4;10245.0
64;177.8;66.5;55.5;2443;sedan;64;122;mazda glc deluxe;10795.0
65;177.8;66.5;55.5;2425;hatchback;84;122;mazda 626;11245.0
66;175.0;66.1;54.4;2670;sedan;120;140;mazda glc;18280.0
67;175.0;66.1;54.4;2700;sedan;72;134;mazda rx-7 gs;18344.0
68;190.9;70.3;56.5;3515;sedan;123;183;buick electra 225 custom;25552.0
69;190.9;70.3;58.7;3750;wagon;123;183;buick century luxus (sw);28248.0
70;187.5;70.3;54.9;3495;hardtop;123;183;buick century;28176.0
