,ID,Datum,Tekst,Gebruiker
0,1461604034427695105,Fri Nov 19 07:55:31 +0000 2021,"Ha, ha, hoe dom denken ze dat we zijn! 

#berberbeauty #hu https://t.co/p7Fwwh0Dsy",odettepost
1,1461367045623324672,Thu Nov 18 16:13:49 +0000 2021,"Werknemers van de HU ervaren minder werkdruk dan een half jaar geleden.
Het percentage dat de werkdruk als goed beoordeelt is 53,3 procent.
 #docent #werkdruk #hu #hogeschoolutrecht #burnout #thermometer https://t.co/K6yK1NpcdC https://t.co/5ctQG4MLfS",trajectum
2,1461335529321029634,Thu Nov 18 14:08:35 +0000 2021,"'Ik ga niet zomaar met iemand het bos in, het moet wel vertrouwd voelen.'
Hoe daten studenten? 
Er komen weer fijne tips, feitjes én HU-studenten aan bod. 
#podcast #hu #daten #studenten #romantiek #single #relatie #tinder
https://t.co/HSilOzgVxI https://t.co/kdC11Mm0aW",trajectum
3,1461027094511640576,Wed Nov 17 17:42:58 +0000 2021,Als je studerende dochter blij en opgelucht thuis komt dat ze een lastig tentamen heeft gehaald. Mede omdat er tevens stof gevraagd werd van een andere module. Door de vele klachten is het tentamen ongeldig verklaard moet door ALLE studenten opnieuw worden gemaakt 🙃 #HU,Linda4Kids
4,1460991785375870980,Wed Nov 17 15:22:40 +0000 2021,RT @HU_DBM: #AI Lector Stefan Leijnen sprak bij #HU #Podium over de AI revolutie. Heb je zijn praatje gemist? Luister deze dan terug via Sp…,CoucoSeth
5,1460893211845668870,Wed Nov 17 08:50:58 +0000 2021,"#AI Lector Stefan Leijnen sprak bij #HU #Podium over de AI revolutie. Heb je zijn praatje gemist? Luister deze dan terug via Spotify: https://t.co/TzAnrVVmlt
#HUonderzoek #samendigitaal",HU_DBM
6,1460847521450938368,Wed Nov 17 05:49:25 +0000 2021,RT @HU_Utrecht: Hoe zorg je dat in een meertalige klas alle kinderen gelijke onderwijskansen krijgen? #HU lector @maaikehajer: “Als Nederla…,Wiemer_Kuik
7,1460677153335484422,Tue Nov 16 18:32:26 +0000 2021,"@HRigholt @Onrecht2 God heeft #hugod verlaten 
Vanaf nu #hu",to_eec
8,1460611705793355782,Tue Nov 16 14:12:22 +0000 2021,"De Docent van het Jaarverkiezing sluit 21 november!!🧑‍🏫👩‍🏫

Wie is de favoriete docent van HU-studenten en waarom?
.
.
.
#HU #hogeschoolutrecht #student #docent #studenten #voxpop https://t.co/ON4vIQBBVi",trajectum
9,1460606793281724416,Tue Nov 16 13:52:50 +0000 2021,"Ga jij met Alexandra Davoli in gesprek over jouw kandidatuur voor deze mooie #job

#dtv #baan #hiring #werk #onderwijs #ict #musketiers #hu https://t.co/sDc0Ehjxgh",HeavenlyThought
